C03G6.8	NM_072472
C03G6.9	NM_072471
C03H12.1	NM_078182
C03H5.1	NM_061324
C03H5.2	NM_061322
C03H5.3	NM_061321
C03H5.4	NM_061318
C03H5.5	NM_061320
C03H5.6	NM_061323
C03H5.7	NM_061319
C04A11.1	NM_077887
C04A11.2	NM_077888
C04A11.3	NM_077889
C04A11.4	NM_077890
C04A11.5	NM_001029183
C04A2.1	NM_001026738
C04A2.3	NM_001026740
C04A2.3	NM_001026741
C04A2.3	NM_171011
C04A2.7	NM_062999
C04A2.7	NM_063000
C04A2.7	NM_171014
C04A2.7	NM_171015
C04B4.1	NM_077646
C04B4.2	NM_077647
C04B4.3	NM_077648
C04B4.4	NM_077650
C04B4.5	NM_077649
C04B4.6	NM_077645
C04C11.1	NM_001029184
C04C11.2	NM_077937
C04C3.1	NM_067942
C04C3.2	NM_067940
C04C3.3	NM_067939
C04C3.4	NM_067937
C04C3.5	NM_001026123
C04C3.5	NM_001026124
C04C3.5	NM_001026125
C04C3.6	NM_067941
C04C3.7	NM_067943
C04D8.1	NM_001136361
C04D8.1	NM_066476
C04E12.10	NM_071540
C04E12.11	NM_071542
C04E12.12	NM_071543
C04E12.2	NM_071537
C04E12.4	NM_071535
C04E12.5	NM_071534
C04E12.6	NM_071532
C04E12.7	NM_071533
C04E12.8	NM_071538
C04E12.9	NM_071539
C04E6.10	NM_072137
C04E6.11	NM_072139
C04E6.13	NM_182414
C04E6.2	NM_072142
C04E6.3	NM_072141
C04E6.4	NM_072138
C04E6.5	NM_072136
C04E6.6	NM_072134
C04E6.7	NM_072133
C04E6.9	NM_072135
C04E7.1	NM_075690
C04E7.2	NM_075689
C04E7.3	NM_075688
C04E7.4	NM_171611
C04E7.5	NM_001129623
C04F1.1	NM_059268
C04F12.10	NM_060181
C04F12.12	NM_001128945
C04F12.1	NM_060172
C04F12.3	NM_060174
C04F12.4	NM_060175
C04F12.5	NM_060176
C04F12.6	NM_060177
C04F12.7	NM_060178
C04F12.8	NM_060179
C04F12.9	NM_060180
C04F1.3	NM_059267
C04F2.1	NM_072529
C04F2.4	NM_072530
